start,end
141456,142114
142114,142163
142163,142233
142233,142277
142277,142996
142996,143418
143418,143462
143462,143501
143501,143534
143534,143571
143571,143642
143642,143704
143704,143746
143746,143780
143780,143821
143821,144794
144794,144835
144835,144890
144890,144971
144971,145009
145009,145114
145114,145240
145240,145373
145373,145442
145442,145479
145479,145535
145535,145571
145571,145792
145792,145846
145846,145880
145880,146022
146022,146222
146222,146266
146266,146645
146645,146880
146880,146915
146915,146956
146956,147001
147001,147065
147065,147709
147709,149210
149210,149465
149465,149548
149548,149584
149584,149617
149617,149736
149736,149803
149803,149840
149840,149878
149878,150477
150477,150663
150663,150732
150732,150797
150797,150919
150919,150994
150994,151053
151053,151086
151086,151134
151134,151230
151230,151265
151265,151315
151315,151387
151387,151580
151580,151980
151980,152684
152684,152722
152722,152765
152765,152803
152803,152847
152847,152883
152883,152944
152944,153013
153013,153078
153078,153149
153149,153188
153188,153235
153235,153273
153273,153339
153339,153396
153396,153489
153489,153533
153533,153630
153630,153674
153674,153722
153722,153778
153778,153842
153842,153886
153886,153955
153955,155859
155859,155892
155892,156387
156387,156474
156474,156548
156548,156998
156998,157093
157093,157213
157213,157684
157684,157738
157738,157797
157797,157837
157837,158169
158169,158220
158220,158270
158270,158346
158346,158386
158386,158429
158429,158471
158471,158547
158547,158792
158792,158828
158828,158880
158880,158921
158921,158993
158993,159107
159107,159340
159340,159472
159472,161012
161012,161048
161048,161110
161110,161145
161145,161204
161204,161292
161292,161521
161521,161557
161557,161598
161598,161724
161724,161776
161776,161914
161914,161967
161967,162009
162009,162076
162076,162136
162136,162202
162202,162371
162371,162829
162829,162905
162905,162948
162948,163132
163132,163368
163368,163463
163463,163549
163549,163593
163593,163649
163649,163682
163682,163726
163726,163941
163941,164002
164002,164077
164077,164120
164120,164194
164194,164332
164332,164418
164418,164464
164464,164510
164510,164544
164544,164795
164795,164852
164852,165060
165060,165111
165111,165268
165268,165305
165305,165393
165393,165482
165482,165556
165556,165695
165695,165745
165745,165902
165902,165936
165936,166148
166148,166188
166188,166248
166248,166285
166285,166439
166439,166472
166472,166520
166520,166713
166713,166756
166756,166884
166884,166945
166945,166984
166984,167163
167163,168243
168243,168332
168332,168860
168860,168910
168910,168985
168985,169230
169230,169275
169275,169334
169334,169381
169381,169457
169457,169570
169570,169646
169646,169687
169687,169734
169734,169798
169798,169877
169877,169910
169910,169961
169961,170024
170024,170138
170138,170863
170863,170909
170909,170950
170950,171086
171086,171163
171163,171247
171247,171310
171310,171411
171411,171901
171901,171943
171943,171980
171980,172303
172303,172442
172442,172480
172480,172751
172751,172814
172814,172864
172864,172984
172984,173030
173030,173063
173063,173142
173142,173290
173290,173476
173476,173515
173515,173554
173554,173592
173592,173635
173635,174010
174010,174043
174043,174085
174085,174381
174381,174427
174427,174468
174468,174546
174546,174602
174602,174673
174673,174758
174758,174794
174794,174834
174834,174904
174904,174947
174947,174985
174985,175023
175023,175079
175079,175353
175353,175403
175403,175456
175456,175609
175609,175654
175654,175695
175695,176252
176252,176292
176292,176344
176344,176426
176426,176582
176582,176627
176627,176727
176727,176760
176760,176816
176816,176941
176941,176999
176999,177056
177056,177218
177218,177347
177347,177384
177384,177440
177440,177609
177609,177645
177645,177720
177720,177889
177889,178049
178049,178306
178306,179518
179518,179602
179602,179635
179635,179775
179775,179931
179931,179972
179972,180176
180176,180236
180236,180303
180303,180472
180472,180514
180514,180549
180549,180586
180586,180642
180642,180688
180688,180729
180729,180774
180774,180810
180810,180868
180868,180975
180975,181079
181079,181190
181190,181252
181252,181457
181457,181508
181508,181544
181544,181598
181598,181678
181678,181730
181730,181786
181786,181828
181828,181930
181930,181972
181972,182005
182005,182087
182087,182130
182130,182457
182457,182519
182519,182598
182598,182769
182769,182805
182805,182851
182851,183001
183001,183727
183727,183799
183799,184143
184143,184203
184203,184238
184238,184293
184293,184521
184521,184593
184593,184631
184631,184683
184683,184792
184792,184832
184832,184866
184866,184903
184903,184962
184962,185029
185029,185124
185124,185163
185163,185219
185219,185252
185252,185315
185315,185480
185480,185681
185681,185756
185756,185808
185808,185885
185885,185921
185921,186036
186036,186094
186094,186152
186152,186201
186201,186237
186237,186291
186291,186331
186331,186381
186381,186633
186633,186809
186809,187395
187395,187448
187448,187703
187703,187749
187749,187857
187857,188368
188368,188401
188401,188467
188467,188950
188950,188994
188994,189044
189044,189122
189122,189232
189232,189470
189470,189519
189519,190032
190032,190306
190306,190367
190367,190564
190564,190622
190622,190676
190676,190748
190748,190798
190798,190836
190836,190920
190920,190971
190971,191021
191021,191240
191240,191329
191329,191422
191422,191791
191791,191914
191914,192256
192256,192315
192315,192547
192547,192649
192649,192706
192706,192769
192769,192847
192847,192964
192964,193007
193007,193307
193307,193368
193368,193411
193411,193509
193509,194309
194309,194478
194478,194543
194543,194609
194609,194712
194712,194752
194752,194790
194790,194872
194872,194912
194912,195261
195261,195316
195316,195442
195442,195792
195792,195826
195826,195913
195913,196000
196000,196041
196041,196153
196153,196242
196242,196297
196297,196443
196443,196693
196693,196791
196791,196854
196854,196893
196893,196988
196988,197027
197027,197083
197083,197117
197117,197286
197286,197339
197339,197379
197379,197412
197412,197446
197446,197482
197482,197669
197669,197730
197730,198094
198094,198147
198147,198236
198236,198273
198273,198317
198317,198380
198380,198422
198422,198465
198465,198625
198625,198677
198677,198739
198739,198832
198832,198908
198908,198947
198947,199017
199017,199052
199052,199087
199087,199152
199152,199401
199401,199441
199441,199480
199480,199539
199539,199595
199595,199845
199845,199906
199906,199955
199955,200007
200007,200047
200047,200154
200154,200201
200201,200293
200293,200374
200374,200431
200431,200484
200484,200635
200635,201713
201713,201748
201748,201787
201787,201870
201870,201935
201935,202179
202179,202226
202226,202346
202346,202403
202403,202615
202615,202670
202670,202955
202955,203007
203007,203069
203069,203112
203112,203152
203152,203326
203326,203373
203373,203407
203407,203477
203477,203527
203527,203650
203650,203732
203732,203807
203807,203899
203899,203979
203979,204020
204020,204066
204066,204142
204142,204406
204406,204617
204617,204657
204657,204725
204725,206479
206479,206520
206520,206561
206561,206627
206627,206674
206674,206737
206737,206777
206777,206821
206821,206921
206921,206955
206955,207031
207031,207084
207084,207117
207117,207318
207318,207368
207368,207402
207402,207474
207474,207542
207542,208140
208140,208658
208658,208729
208729,208916
208916,208958
208958,209149
209149,209761
209761,210747
210747,210842
210842,210886
210886,210952
210952,212423
212423,212465
212465,212522
212522,212806
212806,212840
212840,212913
212913,212950
212950,213013
213013,213078
213078,213123
213123,213291
213291,213526
213526,213599
213599,213674
213674,213786
213786,213838
213838,213903
213903,213949
213949,214166
214166,214201
214201,214248
214248,214485
214485,214579
214579,214874
214874,214954
214954,215170
215170,215472
215472,217138
217138,217180
217180,217242
217242,217347
217347,217384
217384,217427
217427,217498
217498,217547
217547,217793
217793,218051
218051,218088
218088,218307
218307,218342
218342,218406
218406,218574
218574,218673
218673,218796
218796,218829
218829,218862
218862,218907
218907,219298
219298,219336
219336,219373
219373,219979
219979,220015
220015,220085
220085,220124
220124,221210
221210,221377
221377,221468
221468,221515
221515,221548
221548,221586
221586,221629
221629,221841
221841,221874
221874,221926
221926,222528
222528,222562
222562,222968
222968,223032
223032,223110
223110,223258
223258,223545
223545,223581
223581,223626
223626,223663
223663,223824
223824,223857
223857,223899
223899,224083
224083,224199
224199,224245
224245,224295
224295,225011
225011,226623
226623,226657
226657,226761
226761,226948
226948,227148
227148,227193
227193,227253
227253,227290
227290,227372
227372,227416
227416,227573
227573,227610
227610,227645
227645,227714
227714,227760
227760,227806
227806,227859
